DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1995-Q1,1341465.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1995-Q2,1385837.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1995-Q3,1385725.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1995-Q4,1470838.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1996-Q1,1402829.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1996-Q2,1448961.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1996-Q3,1443757.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1996-Q4,1516430.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1997-Q1,1416829.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1997-Q2,1483487.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1997-Q3,1470176.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1997-Q4,1566140.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1998-Q1,1480101.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1998-Q2,1535653.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1998-Q3,1532782.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1998-Q4,1629955.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1999-Q1,1545275.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1999-Q2,1601985.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1999-Q3,1600989.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,1999-Q4,1708574.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2000-Q1,1637274.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2000-Q2,1690245.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2000-Q3,1681348.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2000-Q4,1786498.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2001-Q1,1757200.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2001-Q2,1805492.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2001-Q3,1793640.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2001-Q4,1902107.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2002-Q1,1803866.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2002-Q2,1869061.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2002-Q3,1865704.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2002-Q4,1960827.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2003-Q1,1857703.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2003-Q2,1913383.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2003-Q3,1916299.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2003-Q4,2022992.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2004-Q1,1934448.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2004-Q2,2007293.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2004-Q3,1988604.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2004-Q4,2102093.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2005-Q1,1991446.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2005-Q2,2080643.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2005-Q3,2055325.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2005-Q4,2182276.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2006-Q1,2097771.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2006-Q2,2179613.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2006-Q3,2159214.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2006-Q4,2302858.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2007-Q1,2227321.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2007-Q2,2304319.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2007-Q3,2282874.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2007-Q4,2424393.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2008-Q1,2316625.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2008-Q2,2399200.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2008-Q3,2347830.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2008-Q4,2416600.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2009-Q1,2235496.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2009-Q2,2294139.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2009-Q3,2282330.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2009-Q4,2400408.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2010-Q1,2273319.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2010-Q2,2365203.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2010-Q3,2356847.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2010-Q4,2477101.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2011-Q1,2369789.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2011-Q2,2440149.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2011-Q3,2422280.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2011-Q4,2514033.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2012-Q1,2394904.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2012-Q2,2440952.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2012-Q3,2428223.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2012-Q4,2517373.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2013-Q1,2386789.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2013-Q2,2469147.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2013-Q3,2466494.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2013-Q4,2555185.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2014-Q1,2455991.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2014-Q2,2521261.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2014-Q3,2527545.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2014-Q4,2627163.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2015-Q1,2538139.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2015-Q2,2618613.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2015-Q3,2628727.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2015-Q4,2736634.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2016-Q1,2612305.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2016-Q2,2707006.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2016-Q3,2691332.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2016-Q4,2805612.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2017-Q1,2708071.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2017-Q2,2791722.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2017-Q3,2797440.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2017-Q4,2925184.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2018-Q1,2807330.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2018-Q2,2893236.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2018-Q3,2882081.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2018-Q4,3017595.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2019-Q1,2904681.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2019-Q2,2982639.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2019-Q3,2990744.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2019-Q4,3104657.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2020-Q1,2868880.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2020-Q2,2612774.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2020-Q3,2897518.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2020-Q4,3021206.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2021-Q1,2879152.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,NSA,B1GQ,EA,2021-Q2,3003975.2,
